"","COMNAME","SizeCat","feedguild"
"1","STRIPED BASS","M","pisccomplete"
"2","SEA RAVEN","L","pisccomplete"
"3","STRIPED BASS","L","pisccomplete"
"4","BLUEFISH","S","pisccomplete"
"5","WEAKFISH","M","pisccomplete"
"6","FOURSPOT FLOUNDER","L","pisccomplete"
"7","NORTHERN SHORTFIN SQUID","M","pisccomplete"
"8","LONGFIN SQUID","M","pisccomplete"
"9","LONGFIN SQUID","S","pisccomplete"
"10","NORTHERN SHORTFIN SQUID","S","pisccomplete"
"11","POLLOCK","L","pisccomplete"
"12","WHITE HAKE","M","pisccomplete"
"13","RED HAKE","L","pisccomplete"
"14","SILVER HAKE","M","pisccomplete"
"15","ATLANTIC HALIBUT","M","pisccomplete"
"16","POLLOCK","XL","pisccomplete"
"17","WHITE HAKE","L","pisccomplete"
"18","SILVER HAKE","L","pisccomplete"
"19","CUSK","L","pisccomplete"
"20","GOOSEFISH","XL","pisccomplete"
"21","BLUEFISH","L","pisccomplete"
"22","GOOSEFISH","L","pisccomplete"
"23","GOOSEFISH","M","pisccomplete"
"24","GOOSEFISH","S","pisccomplete"
"25","SPINY DOGFISH","M","pisccomplete"
"26","THORNY SKATE","XL","pisccomplete"
"27","ATLANTIC HALIBUT","L","pisccomplete"
"28","SEA RAVEN","M","pisccomplete"
"29","SEA RAVEN","S","pisccomplete"
"30","ATLANTIC COD","XL","pisccomplete"
"31","SPINY DOGFISH","L","pisccomplete"
"32","SPOTTED HAKE","M","pisccomplete"
"33","SUMMER FLOUNDER","M","pisccomplete"
"34","SUMMER FLOUNDER","L","pisccomplete"
"35","BLUEFISH","M","pisccomplete"
"36","BUCKLER DORY","M","pisccomplete"
